founded_year,total_funding
1902.0,41675000.0
1903.0,9300000.0
1905.0,600000.0
1906.0,1137800000.0
1907.0,11000000.0
1908.0,5814700.0
1910.0,100000.0
1911.0,4200000.0
1912.0,148650000.0
1913.0,101150779.0
1914.0,33300000.0
1917.0,300000000.0
1918.0,157000.0
1919.0,52711261.0
1920.0,2500000.0
1921.0,35048000.0
1922.0,215700000.0
1923.0,39452366.0
1924.0,885366506.0
1925.0,154320.0
1926.0,807000.0
1928.0,125080000.0
1929.0,0.0
1930.0,409219399.0
1933.0,90150768.0
1934.0,132000000.0
1936.0,0.0
1937.0,150000.0
1938.0,13000000.0
1939.0,7500000.0
1941.0,2814100.0
1943.0,17720000.0
1944.0,5000000.0
1945.0,12200000.0
1946.0,412000000.0
1947.0,165768236.0
1948.0,31441514.0
1949.0,2000000.0
1950.0,29176393.0
1951.0,833000000.0
1952.0,194338920.0
1953.0,12000002.0
1954.0,336589080.0
1955.0,58033644.0
1956.0,33478213.0
1957.0,10000000.0
1958.0,24100000.0
1959.0,532112500.0
1960.0,669634363.0
1961.0,291257627.0
1962.0,15000000.0
1963.0,1040815631.0
1964.0,7300000.0
1965.0,5651345.0
1966.0,110815000.0
1967.0,264861108.0
1968.0,1224267566.0
1969.0,164014566.0
1970.0,53122696.0
1971.0,5543204332.0
1972.0,83343381.0
1973.0,473272660.0
1974.0,126206153.0
1975.0,117355170.0
1976.0,1468725432.0
1977.0,246347503.0
1978.0,1310414862.0
1979.0,1206505330.0
1980.0,1322901034.0
1981.0,931351340.0
1982.0,770035689.0
1983.0,31125761140.0
1984.0,2673239680.0
1985.0,3021623307.0
1986.0,1496859355.0
1987.0,1951968560.0
1988.0,1036500547.0
1989.0,2201268206.0
1990.0,1592948822.0
1991.0,4017930124.0
1992.0,2690839545.0
1993.0,7818240719.0
1994.0,3032152308.0
1995.0,6264428754.0
1996.0,6882358415.0
1997.0,7935087685.0
1998.0,11719911068.0
1999.0,20010261788.0
2000.0,20657148326.0
2001.0,20553107437.0
2002.0,20236339672.0
2003.0,28060654213.0
2004.0,35328632895.0
2005.0,37577202536.0
2006.0,36778085015.0
2007.0,49670825057.0
2008.0,30249735616.0
2009.0,31475549390.0
2010.0,28395007701.0
2011.0,25038911919.0
2012.0,19732318719.0
2013.0,9074411116.0
2014.0,1893957515.0
